model,version,location,page_url,url
cpe520,v1,uk,https://www.tp-link.com/uk/support/download/cpe520/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
cpe610,v1,au,https://www.tp-link.com/au/support/download/cpe610/v1/,https://static.tp-link.com/2020/202007/20200714/CPE610(UN)_V1.0_2.2.1 Build 200516.zip
cpe610,v1,au,https://www.tp-link.com/au/support/download/cpe610/v1/,https://static.tp-link.com/2019/201908/20190821/CPE610(UN)_V1.0_2.2.1 Build 190718.zip
cpe610,v1,au,https://www.tp-link.com/au/support/download/cpe610/v1/,https://static.tp-link.com/2019/201907/20190723/CPE610(UN)_v1.0_20190228.zip
cpe610,v1,en,https://www.tp-link.com/en/support/download/cpe610/v1/,https://static.tp-link.com/2020/202007/20200714/CPE610(UN)_V1.0_2.2.1 Build 200516.zip
cpe610,v1,en,https://www.tp-link.com/en/support/download/cpe610/v1/,https://static.tp-link.com/2019/201908/20190821/CPE610(UN)_V1.0_2.2.1 Build 190718.zip
cpe610,v1,en,https://www.tp-link.com/en/support/download/cpe610/v1/,https://static.tp-link.com/2019/201907/20190723/CPE610(UN)_v1.0_20190228.zip
cpe610,v1,us,https://www.tp-link.com/us/support/download/cpe610/v1/,https://static.tp-link.com/2020/202007/20200714/CPE610(UN)_V1.0_2.2.1 Build 200516.zip
cpe610,v1,us,https://www.tp-link.com/us/support/download/cpe610/v1/,https://static.tp-link.com/2019/201907/20190723/CPE610(UN)_v1.0_20190228.zip
cpe610,v1,us,https://www.tp-link.com/us/support/download/cpe610/v1/,https://static.tp-link.com/2018/201806/20180607/CPE610(UN)_v1.0_20180327.zip
cpe610,v1,de,https://www.tp-link.com/de/support/download/cpe610/v1/,https://static.tp-link.com/2020/202007/20200714/CPE610(UN)_V1.0_2.2.1 Build 200516.zip
cpe610,v1,de,https://www.tp-link.com/de/support/download/cpe610/v1/,https://static.tp-link.com/2019/201908/20190821/CPE610(EU)_V1.0_2.2.1 Build 190718.zip
cpe610,v1,de,https://www.tp-link.com/de/support/download/cpe610/v1/,https://static.tp-link.com/2018/201806/20180607/CPE610(UN)_v1.0_20180327.zip
cpe610,v2,au,https://www.tp-link.com/au/support/download/cpe610/v2/,https://static.tp-link.com/2020/202012/20201204/CPE610(UN)_v2.0_20201028.zip
